Year,GrossCapitalFormation,MovingAverageOrder3,MovingAverageOrder5
1966,19.3,,
1967,20.9,19.33333333,
1968,17.8,18.26666667,18.34
1969,16.1,17.16666667,18.04
1970,17.6,17.16666667,17.52
1971,17.8,17.9,17.42
1972,18.3,17.8,18.48
1973,17.3,19,18.82
1974,21.4,19.33333333,18.88
1975,19.3,19.6,19.12
1976,18.1,18.96666667,19.5
1977,19.5,18.93333333,19.66
1978,19.2,20.3,19.98
1979,22.2,20.76666667,20.66
1980,20.9,21.53333333,21.14
1981,21.5,21.43333333,
1982,21.9,,
