yield
20
21
32
41
55
22
64
42
28
35
25
25
24
32
75
28
29
38
19
19
16
28
30
29
29
19
37
34
31
35
29
19
27
42
39
11
27
36
28
24
39
71
44
24
34
18
28
10
32
47
